seed,scenario,level,label_amplitude,epsilon,method,alpha,kappa_x,kappa_y,scale,rmse_all,rmse_plausible,mae_plausible,r2_plausible,median_relative_error_plausible,prediction_drift_rmse,prediction_drift_p95,coefficient_drift_l2,mean_geom_weight,fraction_geom_clipped,mean_resid_weight,fraction_resid_clipped,mean_corrupt_geom_weight,mean_corrupt_resid_weight,mean_corrupt_combined_weight,irls_iterations,delta_rmse_plausible,delta_rmse_all
1202,nominal_raw,0.0,,0.0,geometry,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.252727889036372,0.252727889036372,0.18067411990283427,0.7485087465461764,0.13251367053748875,0.0,0.0,0.0,0.969569525248048,0.0974950884086444,1.0,0.0,,,,1,0.0,0.0
1202,nominal_raw,0.0,,0.0,bgr,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.2529929912430316,0.2529929912430316,0.1793664608923395,0.7479808597811088,0.12915098947328785,0.0,0.0,0.0,0.969569525248048,0.0974950884086444,0.988847475526128,0.04076620825147348,,,,7,0.0,0.0
1202,vertical_amplitude,4.0,,0.05,ridge,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.31818596421215917,0.31818596421215917,0.23807185311115336,0.601362103872859,0.18377012531986459,0.20601612733387092,0.40390906722337494,3.1286625747551664,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.06497458548369972,0.06497458548369972
1202,vertical_amplitude,4.0,,0.05,huber,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.25349366527527634,0.25349366527527634,0.18107902737104045,0.7469823792042694,0.1298200286325235,0.025309403178680016,0.051352345856026105,0.43175816094903086,1.0,0.0,0.9689188918449786,0.06237721021611002,1.0,0.08750898058727369,0.08750898058727369,9,0.0004203344379714591,0.0004203344379714591
1202,vertical_amplitude,4.0,,0.05,geometry,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.31828407804385755,0.31828407804385755,0.23675350888381802,0.6011162229981633,0.18259907280512033,0.2082091957851879,0.39539250751074917,3.2049421027778013,0.969569525248048,0.0974950884086444,1.0,0.0,0.9874448816544025,1.0,0.9874448816544025,1,0.06555618900748555,0.06555618900748555
1202,vertical_amplitude,4.0,,0.05,bgr,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.2534079544792947,0.2534079544792947,0.1810741243603728,0.7471534499517765,0.12834568064545704,0.026076301557421792,0.049617796649187085,0.4704538115339562,0.969569525248048,0.0974950884086444,0.9689508911829559,0.0618860510805501,0.9874448816544025,0.08748818298888592,0.0864044259851422,10,0.0004149632362631106,0.0004149632362631106
1202,leverage_amplitude,50.0,,0.05,ridge,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.40773907933425096,0.40773907933425096,0.31297595158473496,0.3453921309385972,0.25753187564493496,0.3171793491133329,0.591160626442063,3.040345899452916,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.15452770060579152,0.15452770060579152
1202,leverage_amplitude,50.0,,0.05,huber,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.37851586964344947,0.37851586964344947,0.28925253178544813,0.43586281043580766,0.22981120156273993,0.2939257060824264,0.5769044836668691,2.8280873219349076,1.0,0.0,0.9583434162076737,0.12549115913555992,1.0,0.7794881007521468,0.7794881007521468,12,0.1254425388061446,0.1254425388061446
1202,leverage_amplitude,50.0,,0.05,geometry,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.2666517249477027,0.2666517249477027,0.19282842788198234,0.7200339688886329,0.1451827926406295,0.08598877487865098,0.16580647725684727,0.7722201217828903,0.9473818296873349,0.11861493123772102,1.0,0.0,0.005398182488923331,1.0,0.005398182488923331,1,0.013923835911330673,0.013923835911330673
1202,leverage_amplitude,50.0,,0.05,bgr,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.2533802758183544,0.2533802758183544,0.1796425609342438,0.7472086816175509,0.13133603444301434,0.010703092766497684,0.021939211658045465,0.15322611805646752,0.9473818296873349,0.11861493123772102,0.9787315606541365,0.0550098231827112,0.005398182488923331,0.5116416065552392,0.0027553367404267283,8,0.00038728457532277716,0.00038728457532277716
1202,mixed_amplitude,50.0,4.0,0.05,ridge,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.4450577776420675,0.4450577776420675,0.3466920093559739,0.22008129596585557,0.277044924000748,0.3700767495687273,0.7445171380154054,4.313197241966229,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.19184639891360805,0.19184639891360805
1202,mixed_amplitude,50.0,4.0,0.05,huber,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.3262685822348827,0.3262685822348827,0.2474643047226746,0.5808523290373668,0.19953106014179944,0.22286257394830342,0.43637142613992363,2.073105806789565,1.0,0.0,0.9606413056260767,0.1043713163064833,1.0,0.33591785653972905,0.33591785653972905,12,0.07319525139757782,0.07319525139757782
1202,mixed_amplitude,50.0,4.0,0.05,geometry,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.26874971754314064,0.26874971754314064,0.19519119042311217,0.7156111410574841,0.14545595711379367,0.09238514669646113,0.1801713901872546,0.8284894884016257,0.9473818296873349,0.11861493123772102,1.0,0.0,0.005398182488923331,1.0,0.005398182488923331,1,0.016021828506768643,0.016021828506768643
1202,mixed_amplitude,50.0,4.0,0.05,bgr,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.25350621336451734,0.25350621336451734,0.17979164664228067,0.7469573295347932,0.1322190600423795,0.010924873812243883,0.020921270260850555,0.1572066196411576,0.9473818296873349,0.11861493123772102,0.9690305101651914,0.06114931237721022,0.005398182488923331,0.0797080139905858,0.0004304079810692117,9,0.0005132221214857458,0.0005132221214857458
1202,gaussian_noise,0.4,,1.0,ridge,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.26767458134978067,0.26767458134978067,0.19991371322913673,0.717881991173348,0.14989521156420094,0.11963642784039286,0.25381667876387937,2.333593775431116,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.014463202621321225,0.014463202621321225
1202,gaussian_noise,0.4,,1.0,huber,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.26742504742563766,0.26742504742563766,0.19992054903741416,0.7184077430018185,0.1536418716135668,0.1245011402306441,0.24148038254159054,2.386942868300955,1.0,0.0,0.929552545505498,0.1844302554027505,1.0,0.929552545505498,0.929552545505498,11,0.014351716588332786,0.014351716588332786
1202,gaussian_noise,0.4,,1.0,geometry,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.26871461372265937,0.26871461372265937,0.20068109136515105,0.715685429384548,0.15750423006461056,0.12133283593611607,0.2629924532983159,2.3307399961995263,0.969569525248048,0.0974950884086444,1.0,0.0,0.969569525248048,1.0,0.969569525248048,1,0.015986724686287368,0.015986724686287368
1202,gaussian_noise,0.4,,1.0,bgr,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.2681423738786343,0.2681423738786343,0.20076860021701612,0.7168950613352383,0.15954164056487286,0.1257308521579302,0.2512350343021268,2.3792291765634017,0.969569525248048,0.0974950884086444,0.9291994003104315,0.1856581532416503,0.969569525248048,0.9291994003104315,0.8999860101037871,12,0.015149382635602726,0.015149382635602726
1202,realistic_cells,1.0,,0.05,ridge,0.31622776601683794,3.676402589769803,2.0,0.17301866916416356,0.2582935242807427,0.2582935242807427,0.1835913617591405,0.7373099750036409,0.13466131887051558,0.040703966424532265,0.07651960214677889,0.4893360676090563,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.005082145552283257,0.005082145552283257
