seed,corruption_magnitude,score,roc_auc,average_precision,precision_at_k,rare_clean_fraction_in_top_k,rare_clean_share_of_false_alarms,k,gamma,location_shrink,scale_mix
1,3.0,local_euclidean,0.9954026426414176,0.9368696918661844,0.8723747980613893,0.0129240710823909,0.1012658227848101,64.0,0.0,0.5,0.75
1,3.0,local_ridge_geometry,0.9951515758149472,0.9379056972236444,0.8869143780290791,0.0129240710823909,0.1142857142857142,64.0,0.0,0.5,0.75
10,3.0,global,0.9978063376999432,0.9614117241206545,0.9176090468497576,0.0177705977382875,0.2156862745098039,,,,
10,3.0,local_euclidean,0.9964794904375204,0.9451517438250424,0.8723747980613893,0.0016155088852988,0.0126582278481012,32.0,0.25,0.5,0.75
10,3.0,local_ridge_geometry,0.9958572194698826,0.94266396501836,0.8788368336025848,0.0,0.0,128.0,0.25,0.75,1.0
11,3.0,global,0.9976234633275212,0.9384564901281174,0.9063004846526656,0.0161550888529886,0.1724137931034483,,,,
11,3.0,local_euclidean,0.9967294899038402,0.9426143598514832,0.8739903069466882,0.0016155088852988,0.0128205128205128,32.0,0.25,0.5,0.75
11,3.0,local_ridge_geometry,0.9960991544372888,0.934627944948749,0.8594507269789984,0.0,0.0,64.0,0.25,0.75,1.0
12,3.0,global,0.996027048329356,0.947237686113382,0.9079159935379644,0.0177705977382875,0.1929824561403508,,,,
12,3.0,local_euclidean,0.9932479982846336,0.9246331918155116,0.8578352180936996,0.0177705977382875,0.125,32.0,0.0,0.5,0.75
12,3.0,local_ridge_geometry,0.9937130115234574,0.9306048750606994,0.8691437802907916,0.0129240710823909,0.0987654320987654,64.0,0.0,0.5,0.75
13,3.0,global,0.998120615966427,0.94689191508529,0.9159935379644588,0.0210016155088853,0.25,,,,
13,3.0,local_euclidean,0.996739926314199,0.938018968770066,0.8804523424878837,0.024232633279483,0.2027027027027027,64.0,0.0,0.5,0.75
13,3.0,local_ridge_geometry,0.996392915669772,0.9376294435955164,0.8820678513731826,0.0145395799676898,0.1232876712328767,32.0,0.0,0.5,0.75
14,3.0,global,0.9981082820269124,0.9496043147191756,0.9111470113085622,0.0161550888529886,0.1818181818181818,,,,
14,3.0,local_euclidean,0.9967874831386746,0.9362672019875374,0.877221324717286,0.0096930533117932,0.0789473684210526,32.0,0.0,0.5,0.75
14,3.0,local_ridge_geometry,0.99738390027156,0.9429314581370516,0.8836833602584814,0.0129240710823909,0.1111111111111111,64.0,0.0,0.5,0.75
15,3.0,global,0.9973453567105764,0.9465221246918878,0.91437802907916,0.0129240710823909,0.1509433962264151,,,,
15,3.0,local_euclidean,0.9962318628826456,0.9280611945074596,0.8707592891760905,0.0096930533117932,0.075,64.0,0.0,0.5,0.75
15,3.0,local_ridge_geometry,0.9946862067894068,0.9204089802131112,0.864297253634895,0.011308562197092,0.0833333333333333,128.0,0.0,0.5,1.0
16,3.0,global,0.995787129486678,0.9359066848594944,0.9127625201938612,0.0177705977382875,0.2037037037037037,,,,
16,3.0,local_euclidean,0.9946112543877396,0.9250311186470986,0.8691437802907916,0.0193861066235864,0.1481481481481481,64.0,0.0,0.5,0.75
