rep,player,shapley_information,register_information_average,shapley_predictive,register_predictive_average
27,6,0.1547387788908128,0.15473877889081267,0.3367765096872374,0.3367765096872375
27,7,0.17799083767607196,0.17799083767607204,0.19547792625933363,0.19547792625933294
28,0,0.2116728758475611,0.211672875847561,0.03292229614773228,0.032922296147732226
28,1,0.07889171937570089,0.07889171937570082,-0.0058038708534817445,-0.005803870853481777
28,2,0.14053211228180632,0.1405321122818062,0.023064844646078574,0.02306484464607858
28,3,0.19472698461810853,0.1947269846181083,0.013770257455509324,0.013770257455509296
28,4,0.3220869276181908,0.3220869276181908,0.058880962181141944,0.058880962181141916
28,5,0.24037577481654188,0.2403757748165418,0.004882934839244228,0.0048829348392442
28,6,0.09191804525799571,0.09191804525799571,0.004513263994363217,0.0045132639943631985
28,7,0.121454835104687,0.12145483510468677,0.047071333156227066,0.04707133315622705
29,0,0.03862682736453923,0.038626827364539186,0.03605727740102848,0.036057277401028466
29,1,0.2025447239502261,0.20254472395022607,-0.01905434041410286,-0.019054340414102842
29,2,0.21658315943973477,0.2165831594397349,0.05794562238684395,0.05794562238684388
29,3,0.3596201238666761,0.359620123866676,0.18133345496656117,0.18133345496656117
29,4,0.18932800896463642,0.18932800896463642,0.015402220681990032,0.015402220681990098
29,5,0.24063756009338777,0.24063756009338758,0.045221169753469743,0.04522116975346985
29,6,0.16729452312833262,0.16729452312833237,0.0035054796623733447,0.003505479662373281
29,7,0.21457877799029068,0.2145787779902906,-0.006520222617512967,-0.00652022261751293
30,0,0.42296192632299584,0.422961926322996,0.06579794941247202,0.06579794941247202
30,1,0.09801724777528324,0.09801724777528326,0.006186412270556792,0.006186412270556781
30,2,0.24790523827637886,0.24790523827637886,-0.029935155606759377,-0.02993515560675935
30,3,0.053422077250328145,0.05342207725032812,-0.008775969490068683,-0.008775969490068687
30,4,0.2904676312247209,0.29046763122472075,0.005157099164470421,0.005157099164470444
30,5,0.08490407592335682,0.0849040759233568,0.0006156021074169355,0.0006156021074168951
30,6,0.007498593045412125,0.0074985930454123315,0.008434196331295926,0.008434196331295926
30,7,0.05252826588599412,0.05252826588599421,0.0007128610068506047,0.0007128610068505701
31,0,0.05825199685479112,0.05825199685479123,0.002828629073844475,0.0028286290738444844
31,1,0.12697839823796894,0.12697839823796914,0.011010399034798977,0.011010399034798982
31,2,0.1252163219366199,0.12521632193662008,0.00725178109121269,0.00725178109121267
31,3,0.08459101103710619,0.0845910110371062,-0.0047367512062965085,-0.004736751206296474
31,4,0.3751200474062964,0.3751200474062965,0.0049066560054117974,0.004906656005411814
31,5,0.13639537641539934,0.13639537641539948,0.014908936205409206,0.01490893620540919
31,6,0.16796801985003543,0.16796801985003557,0.007120034607081817,0.007120034607081821
31,7,0.23013780567472705,0.230137805674727,0.005549762924686718,0.005549762924686704
32,0,0.23020125967152613,0.23020125967152613,0.015250898558685723,0.015250898558685742
