seed,family,rank,q,ky,nominal_ratio,ridge_rmse,rmse,alpha,kx,scale
7202,geometry,4,1.0,1000000000.0,1.0,0.7337506652225025,0.7337506652225025,0.01,8.800846638655432,0.6444045414402527
7202,bgr,0,0.9,1.5,1.0396394849380668,0.7337506652225025,0.7628361636648865,0.01,4.069209183102307,0.6444045414402527
7202,bgr,1,0.9,2.0,1.0360134719026193,0.7337506652225025,0.7601755741880214,0.01,4.069209183102307,0.6444045414402527
7202,bgr,2,0.95,2.0,1.0030794847090125,0.7337506652225025,0.7360102391762829,0.01,5.728029272777967,0.6444045414402527
7202,bgr,3,0.95,3.0,1.0036000191200631,0.7337506652225025,0.7363921816466625,0.01,5.728029272777967,0.6444045414402527
7202,bgr,4,0.975,3.0,0.999045405775694,0.7337506652225025,0.7330502310754005,0.01,7.218783982730827,0.6444045414402527
7202,bgr,5,0.99,4.0,0.9998534686130816,0.7337506652225025,0.7336431477198752,0.01,8.408930161006635,0.6444045414402527
7202,bgr,6,1.0,6.0,1.0,0.7337506652225025,0.7337506652225025,0.01,8.800846638655432,0.6444045414402527
7202,schweppe_type,0,0.9,1.5,0.9999037148639536,0.7337506652225025,0.7336800159398774,0.01,4.069209183102307,0.6444045414402527
7202,schweppe_type,1,0.9,2.0,0.9985790151567175,0.7337506652225025,0.732708016648473,0.01,4.069209183102307,0.6444045414402527
7202,schweppe_type,2,0.95,2.0,0.9962498344298328,0.7337506652225025,0.7309989787406979,0.01,5.728029272777967,0.6444045414402527
7202,schweppe_type,3,0.95,3.0,1.0,0.7337506652225025,0.7337506652225025,0.01,5.728029272777967,0.6444045414402527
7202,schweppe_type,4,0.975,3.0,1.0,0.7337506652225025,0.7337506652225025,0.01,7.218783982730827,0.6444045414402527
7202,schweppe_type,5,0.99,4.0,1.0,0.7337506652225025,0.7337506652225025,0.01,8.408930161006635,0.6444045414402527
7202,schweppe_type,6,1.0,6.0,1.0,0.7337506652225025,0.7337506652225025,0.01,8.800846638655432,0.6444045414402527
7303,huber,0,1.0,1.5,0.9902274244085976,0.5614905258466182,0.5560033172389258,0.001,inf,0.6838571707833897
7303,huber,1,1.0,2.0,0.9946732101686705,0.5614905258466182,0.5584995838231506,0.001,inf,0.6838571707833897
7303,huber,2,1.0,3.0,1.0,0.5614905258466182,0.5614905258466182,0.001,inf,0.6838571707833897
7303,huber,3,1.0,4.0,1.0,0.5614905258466182,0.5614905258466182,0.001,inf,0.6838571707833897
7303,huber,4,1.0,6.0,1.0,0.5614905258466182,0.5614905258466182,0.001,inf,0.6838571707833897
7303,geometry,0,0.9,1000000000.0,0.8990153332603533,0.5614905258466182,0.5047885922165285,0.001,3.9719396401229905,0.6838571707833897
7303,geometry,1,0.95,1000000000.0,0.9475713756363298,0.5614905258466182,0.5320523499832461,0.001,5.726654870130538,0.6838571707833897
7303,geometry,2,0.975,1000000000.0,0.9984404547327391,0.5614905258466182,0.5606148559544223,0.001,8.055865192125959,0.6838571707833897
7303,geometry,3,0.99,1000000000.0,0.9996676208141276,0.5614905258466182,0.5613038980827623,0.001,8.181886004208264,0.6838571707833897
7303,geometry,4,1.0,1000000000.0,1.0,0.5614905258466182,0.5614905258466182,0.001,8.275330915452486,0.6838571707833897
7303,bgr,0,0.9,1.5,0.8682829745344328,0.5614905258466182,0.48753266395500444,0.001,3.9719396401229905,0.6838571707833897
7303,bgr,1,0.9,2.0,0.8864859609093877,0.5614905258466182,0.4977534683466567,0.001,3.9719396401229905,0.6838571707833897
7303,bgr,2,0.95,2.0,0.9425873779706953,0.5614905258466182,0.5292538825131508,0.001,5.726654870130538,0.6838571707833897
7303,bgr,3,0.95,3.0,0.9475713756363298,0.5614905258466182,0.5320523499832461,0.001,5.726654870130538,0.6838571707833897
7303,bgr,4,0.975,3.0,0.9984404547327391,0.5614905258466182,0.5606148559544223,0.001,8.055865192125959,0.6838571707833897
7303,bgr,5,0.99,4.0,0.9996676208141276,0.5614905258466182,0.5613038980827623,0.001,8.181886004208264,0.6838571707833897
7303,bgr,6,1.0,6.0,1.0,0.5614905258466182,0.5614905258466182,0.001,8.275330915452486,0.6838571707833897
7303,schweppe_type,0,0.9,1.5,0.9210751551214438,0.5614905258466182,0.5171749731933949,0.001,3.9719396401229905,0.6838571707833897
7303,schweppe_type,1,0.9,2.0,0.9627774477899651,0.5614905258466182,0.5405904154328525,0.001,3.9719396401229905,0.6838571707833897
7303,schweppe_type,2,0.95,2.0,0.9946732106485228,0.5614905258466182,0.558499584092583,0.001,5.726654870130538,0.6838571707833897
7303,schweppe_type,3,0.95,3.0,1.0,0.5614905258466182,0.5614905258466182,0.001,5.726654870130538,0.6838571707833897
7303,schweppe_type,4,0.975,3.0,1.0,0.5614905258466182,0.5614905258466182,0.001,8.055865192125959,0.6838571707833897
7303,schweppe_type,5,0.99,4.0,1.0,0.5614905258466182,0.5614905258466182,0.001,8.181886004208264,0.6838571707833897
7303,schweppe_type,6,1.0,6.0,1.0,0.5614905258466182,0.5614905258466182,0.001,8.275330915452486,0.6838571707833897
7404,huber,0,1.0,1.5,1.0007804928678463,0.6349563172330958,0.6354518961100901,0.03162277660168379,inf,0.6323879601837529
7404,huber,1,1.0,2.0,0.9987535926202903,0.6349563172330958,0.6341649029935031,0.03162277660168379,inf,0.6323879601837529
7404,huber,2,1.0,3.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,inf,0.6323879601837529
7404,huber,3,1.0,4.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,inf,0.6323879601837529
7404,huber,4,1.0,6.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,inf,0.6323879601837529
7404,geometry,0,0.9,1000000000.0,1.1292697584956206,0.6349563172330958,0.7170369670170867,0.03162277660168379,3.838885546000828,0.6323879601837529
7404,geometry,1,0.95,1000000000.0,1.0181262890398453,0.6349563172330958,0.6464657189669385,0.03162277660168379,6.55403324303565,0.6323879601837529
7404,geometry,2,0.975,1000000000.0,1.0005769423303017,0.6349563172330958,0.6353226504104,0.03162277660168379,8.330213821280564,0.6323879601837529
7404,geometry,3,0.99,1000000000.0,1.0000174406005047,0.6349563172330958,0.6349673912525625,0.03162277660168379,8.73617296376051,0.6323879601837529
7404,geometry,4,1.0,1000000000.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,8.772425304551387,0.6323879601837529
7404,bgr,0,0.9,1.5,1.2810869981090096,0.6349563172330958,0.8134342823744987,0.03162277660168379,3.838885546000828,0.6323879601837529
7404,bgr,1,0.9,2.0,1.2296143219110753,0.6349563172330958,0.7807513814577267,0.03162277660168379,3.838885546000828,0.6323879601837529
7404,bgr,2,0.95,2.0,1.0216064566191887,0.6349563172330958,0.6486754733564725,0.03162277660168379,6.55403324303565,0.6323879601837529
