seed,corruption_magnitude,method,test_mse_standardized,test_rmse_dollars
6,3.0,ridge_contamine,0.4260399559993295,74952.48977816157
6,3.0,ridge_huber_global,0.5058521159372774,81671.90464462798
6,3.0,ridge_huber_local_geometrique,0.4251021927050731,74869.95477973996
6,3.0,ridge_oracle_exclusion,0.4253087514549741,74888.14236657828
6,3.0,ridge_donnees_propres,0.4224283879886847,74634.12511311779
7,3.0,ridge_contamine,0.3950330946227036,72307.24540272079
7,3.0,ridge_huber_global,0.3950220830966304,72306.23761542708
7,3.0,ridge_huber_local_geometrique,0.3945690760072707,72264.7657131281
7,3.0,ridge_oracle_exclusion,0.3950738115569673,72310.97174051039
7,3.0,ridge_donnees_propres,0.3952440541168834,72326.54994221019
8,3.0,ridge_contamine,0.3736953522693378,71391.52784642918
8,3.0,ridge_huber_global,0.3730075356447925,71325.79663606336
8,3.0,ridge_huber_local_geometrique,0.3729655979285507,71321.78689789967
8,3.0,ridge_oracle_exclusion,0.3735874957322509,71381.22453571913
8,3.0,ridge_donnees_propres,0.3739776904163156,71418.49198416338
9,3.0,ridge_contamine,0.4152577511976577,74465.82043637698
9,3.0,ridge_huber_global,0.5220048726499876,83490.17730751731
9,3.0,ridge_huber_local_geometrique,0.5524331714524809,85889.08558805085
9,3.0,ridge_oracle_exclusion,0.4155956643496877,74496.11230096065
9,3.0,ridge_donnees_propres,0.4114623296959384,74124.73355083524
