seed,scenario,level,method,rmse,delta_rmse,rmse_all,delta_rmse_all,mean_corrupt_weight,mean_corrupt_leverage_factor,irls_iterations,alpha,kappa_x,q_geometry,kappa_y,scale
1303,leverage_amplitude,50.0,geometry,0.297425008108352,0.0266727008526891,0.297425008108352,0.0266727008526891,0.0081661914664853,,,,,,,
1303,leverage_amplitude,50.0,bgr,0.2701823821248534,-0.0004822866220077,0.2701823821248534,-0.0004822866220077,0.003975986262426,,,,,,,
1303,mixed_amplitude,50.0,ridge,0.4189970911168248,0.1481496682031974,0.4189970911168248,0.1481496682031974,1.0,,,,,,,
1303,mixed_amplitude,50.0,huber,0.3313922108705265,0.0602748489846998,0.3313922108705265,0.0602748489846998,0.4336499848495688,,,,,,,
1303,mixed_amplitude,50.0,geometry,0.2956134269744541,0.0248611197187912,0.2956134269744541,0.0248611197187912,0.0081661914664853,,,,,,,
1303,mixed_amplitude,50.0,bgr,0.2699149869533626,-0.0007496817934985,0.2699149869533626,-0.0007496817934985,0.0006487061116291,,,,,,,
1303,gaussian_noise,0.4,ridge,0.2969132166463478,0.0260657937327203,0.2969132166463478,0.0260657937327203,1.0,,,,,,,
1303,gaussian_noise,0.4,huber,0.2979475838664421,0.0268302219806155,0.2979475838664421,0.0268302219806155,0.9328622919193438,,,,,,,
1303,gaussian_noise,0.4,geometry,0.2976018511326419,0.026849543876979,0.2976018511326419,0.026849543876979,0.9950446142646376,,,,,,,
1303,gaussian_noise,0.4,bgr,0.298180187653831,0.0275155189069697,0.298180187653831,0.0275155189069697,0.9281649593314432,,,,,,,
1404,nominal_raw,0.0,ridge,0.2549341756212808,0.0,0.257300501382501,0.0,,,,,,,,
1404,nominal_raw,0.0,huber,0.2575883139281173,0.0,0.2602132089782214,0.0,,,,,,,,
1404,nominal_raw,0.0,geometry,0.2552773318441847,0.0,0.255842670540938,0.0,,,,,,,,
1404,nominal_raw,0.0,bgr,0.257999882314935,0.0,0.2588630903655109,0.0,,,,,,,,
1404,vertical_amplitude,4.0,ridge,0.3179076919038096,0.0629735162825287,0.3310320881721273,0.0737315867896263,1.0,,,,,,,
1404,vertical_amplitude,4.0,huber,0.258257945823527,0.0006696318954096,0.2625925830707836,0.0023793740925621,0.0888131911936368,,,,,,,
1404,vertical_amplitude,4.0,geometry,0.3191037325210793,0.0638264006768946,0.3481815839765023,0.0923389134355643,0.9980338812101216,,,,,,,
1404,vertical_amplitude,4.0,bgr,0.2586229620134896,0.0006230796985546,0.2618747030680652,0.0030116127025542,0.0886255551489163,,,,,,,
1404,leverage_amplitude,50.0,ridge,0.3963949006881751,0.1414607250668942,0.3961197810121319,0.1388192796296309,1.0,,,,,,,
1404,leverage_amplitude,50.0,huber,0.3991676480105688,0.1415793340824515,0.398947335134752,0.1387341261565305,0.8792716642898802,,,,,,,
1404,leverage_amplitude,50.0,geometry,0.2660102293001695,0.0107328974559848,0.3228552389819619,0.0670125684410239,0.0040298316462607,,,,,,,
1404,leverage_amplitude,50.0,bgr,0.257460966100298,-0.0005389162146369,0.2587528998786812,-0.0001101904868296,0.0019152787072069,,,,,,,
1404,mixed_amplitude,50.0,ridge,0.4680786922926239,0.213144516671343,0.4704252806615416,0.2131247792790406,1.0,,,,,,,
