seed,scenario,level,method,rmse,delta_rmse,mean_corrupt_geom_weight,mean_corrupt_resid_weight,mean_corrupt_combined_weight
8404,mixed,50.0,schweppe_type,0.712015978194232,0.051930094281548156,0.00595543672213725,0.19927378216452626,0.09561659821961982
8404,gaussian,0.4,schweppe_type,0.6585714498727228,-0.001514434039961099,0.980449080540081,0.9931730709196078,0.986171407931719
8404,nominal,0.0,bgr,0.6700939187413246,0.0,,,
8404,vertical,4.0,bgr,0.68389964395295,0.013805725211625375,0.9988077609288296,0.5285488937652663,0.5278305350722862
8404,leverage,50.0,bgr,0.6864783671502724,0.016384448408947816,0.027411661587105552,0.273034863185701,0.00743382555422311
8404,mixed,50.0,bgr,0.6867754012778646,0.016681482536540004,0.027411661587105552,0.21336102845741986,0.0058261437560206755
8404,gaussian,0.4,bgr,0.6688302695878351,-0.0012636491534895322,0.9995158045063186,0.999641792378875,0.9991649602486851
8505,nominal,0.0,ridge,0.6104557451910047,0.0,,,
8505,vertical,4.0,ridge,0.631590914203357,0.02113516901235235,1.0,1.0,1.0
8505,leverage,50.0,ridge,0.8839562222387592,0.2735004770477546,1.0,1.0,1.0
8505,mixed,50.0,ridge,0.8738480554700171,0.26339231027901244,1.0,1.0,1.0
8505,gaussian,0.4,ridge,0.6073134337627594,-0.0031423114282452813,1.0,1.0,1.0
8505,nominal,0.0,huber,0.6352371723456262,0.0,,,
8505,vertical,4.0,huber,0.6289978408405159,-0.006239331505110246,1.0,0.2842850158693269,0.2842850158693269
8505,leverage,50.0,huber,0.8496394535359987,0.21440228119037252,1.0,0.9106823227728835,0.9106823227728835
8505,mixed,50.0,huber,0.8125684195441458,0.17733124719851967,1.0,0.7092134018162332,0.7092134018162332
8505,gaussian,0.4,huber,0.6188866890747421,-0.016350483270884064,1.0,0.9745682184784776,0.9745682184784776
8505,nominal,0.0,geometry,0.6117714657308052,0.0,,,
8505,vertical,4.0,geometry,0.6323908190542391,0.020619353323433898,1.0,1.0,1.0
8505,leverage,50.0,geometry,0.7745089653146406,0.16273749958383543,0.10158963668837541,1.0,0.10158963668837541
8505,mixed,50.0,geometry,0.7655279017274945,0.1537564359966893,0.10158963668837541,1.0,0.10158963668837541
8505,gaussian,0.4,geometry,0.6085230178288912,-0.003248447901914031,0.9996639747725979,1.0,0.9996639747725979
8505,nominal,0.0,schweppe_type,0.7681819367943482,0.0,,,
8505,vertical,4.0,schweppe_type,0.7176846580674717,-0.05049727872687648,0.999847662495592,0.4241793088773371,0.4241460907028416
8505,leverage,50.0,schweppe_type,0.8171564184241519,0.04897448162980367,0.007018575176430806,0.47971467828756725,0.21755270173403277
8505,mixed,50.0,schweppe_type,0.8057296613848829,0.03754772459053468,0.007018575176430806,0.44114272450113834,0.09750128186937886
8505,gaussian,0.4,schweppe_type,0.737428504253741,-0.03075343254060725,0.9684197158589269,0.9937745984161537,0.981744304879744
8505,nominal,0.0,bgr,0.6118411536593555,0.0,,,
8505,vertical,4.0,bgr,0.6171733908521103,0.005332237192754774,1.0,0.5735826338747768,0.5735826338747768
8505,leverage,50.0,bgr,0.682713596392755,0.07087244273339943,0.10158963668837541,0.6024020382277137,0.06180538110722943
8505,mixed,50.0,bgr,0.6692803165399065,0.057439162880550954,0.10158963668837541,0.5553470835367404,0.05671252656808079
8505,gaussian,0.4,bgr,0.6091798068769677,-0.00266134678238783,0.9996639747725979,0.9996752229745094,0.9993435186857906
8606,nominal,0.0,ridge,0.6588879085432126,0.0,,,
8606,vertical,4.0,ridge,0.6764597828360975,0.01757187429288498,1.0,1.0,1.0
8606,leverage,50.0,ridge,1.0166873374264132,0.3577994288832006,1.0,1.0,1.0
8606,mixed,50.0,ridge,1.0033486443584765,0.34446073581526393,1.0,1.0,1.0
8606,gaussian,0.4,ridge,0.6788316683217723,0.019943759778559778,1.0,1.0,1.0
8606,nominal,0.0,huber,0.668873967223129,0.0,,,
8606,vertical,4.0,huber,0.6705992188320719,0.0017252516089428793,1.0,0.2925362846281323,0.2925362846281323
8606,leverage,50.0,huber,1.0238258842768702,0.3549519170537412,1.0,0.8821074663156495,0.8821074663156495
8606,mixed,50.0,huber,0.9349532752776507,0.26607930805452173,1.0,0.6261438575363055,0.6261438575363055
8606,gaussian,0.4,huber,0.6939794837929426,0.025105516569813635,1.0,0.978758967918609,0.978758967918609
8606,nominal,0.0,geometry,0.6667036631322855,0.0,,,
8606,vertical,4.0,geometry,0.6866220818918696,0.01991841875958411,1.0,1.0,1.0
8606,leverage,50.0,geometry,0.9159052224419423,0.24920155930965682,0.08304510524518417,1.0,0.08304510524518417
8606,mixed,50.0,geometry,0.8999973171590115,0.23329365402672608,0.08304510524518417,1.0,0.08304510524518417
8606,gaussian,0.4,geometry,0.6879666331055426,0.021262969973257162,0.9963965396322135,1.0,0.9963965396322135
8606,nominal,0.0,schweppe_type,0.6874501585175112,0.0,,,
8606,vertical,4.0,schweppe_type,0.6902953879818408,0.002845229464329524,0.9850779093163841,0.4396255427036732,0.4362629188607821
8606,leverage,50.0,schweppe_type,0.7920837488217226,0.10463359030421138,0.017788697304406784,0.4222358151236378,0.19077177473114845
8606,mixed,50.0,schweppe_type,0.7998097583841215,0.11235959986661026,0.017788697304406784,0.33241441455922777,0.1557215420487713
8606,gaussian,0.4,schweppe_type,0.7172348155966424,0.029784657079131138,0.9710951072281173,0.9960876703453586,0.9880470698511974
8606,nominal,0.0,bgr,0.6667036631322855,0.0,,,
8606,vertical,4.0,bgr,0.6740429140730484,0.007339250940762931,1.0,0.5882646097431514,0.5882646097431514
8606,leverage,50.0,bgr,0.7486424970496893,0.08193883391740386,0.08304510524518417,0.4261639124611542,0.03543040108120927
8606,mixed,50.0,bgr,0.7533492127495487,0.08664554961726323,0.08304510524518417,0.356526304070659,0.02951359678990781
8606,gaussian,0.4,bgr,0.6887542113995742,0.022050548267288694,0.9963965396322135,0.9997159377037531,0.9962098529774692
8707,nominal,0.0,ridge,0.682571461248002,0.0,,,
8707,vertical,4.0,ridge,0.6895910016671456,0.007019540419143544,1.0,1.0,1.0
8707,leverage,50.0,ridge,0.9803722889090101,0.297800827661008,1.0,1.0,1.0
8707,mixed,50.0,ridge,1.0106768853509112,0.3281054241029091,1.0,1.0,1.0
8707,gaussian,0.4,ridge,0.6804497319360366,-0.0021217293119654146,1.0,1.0,1.0
8707,nominal,0.0,huber,0.7558906702996968,0.0,,,
8707,vertical,4.0,huber,0.7516381099849401,-0.004252560314756737,1.0,0.25689595643166846,0.25689595643166846
8707,leverage,50.0,huber,0.9676878840798414,0.2117972137801446,1.0,0.8934660458579389,0.8934660458579389
8707,mixed,50.0,huber,0.9564967763963904,0.2006061060966936,1.0,0.6472168750511814,0.6472168750511814
8707,gaussian,0.4,huber,0.7270001166638612,-0.028890553635835592,1.0,0.9714430638717644,0.9714430638717644
8707,nominal,0.0,geometry,0.7681498170109695,0.0,,,
8707,vertical,4.0,geometry,0.786080573145595,0.01793075613462547,1.0,1.0,1.0
8707,leverage,50.0,geometry,0.7971346851886146,0.028984868177645118,0.025067091886294718,1.0,0.025067091886294718
8707,mixed,50.0,geometry,0.7984394692418473,0.03028965223087776,0.025067091886294718,1.0,0.025067091886294718
8707,gaussian,0.4,geometry,0.7515701726945326,-0.01657964431643688,0.9940158120960155,1.0,0.9940158120960155
8707,nominal,0.0,schweppe_type,0.8576290004788835,0.0,,,
8707,vertical,4.0,schweppe_type,0.8649636606135145,0.007334660134631021,0.9950276664786989,0.3867573852845248,0.3855849061011552
8707,leverage,50.0,schweppe_type,0.8204361640748722,-0.037192836404011276,0.006659923669686231,0.4583017103406081,0.1636648554492762
8707,mixed,50.0,schweppe_type,0.8158052116082954,-0.04182378887058802,0.006659923669686231,0.29604576230104146,0.16602430098689308
8707,gaussian,0.4,schweppe_type,0.8185886857797197,-0.0390403146991638,0.9741084024725849,0.9922213685745986,0.9837508544031338
8707,nominal,0.0,bgr,0.7898351392812138,0.0,,,
8707,vertical,4.0,bgr,0.7925858703326648,0.002750731051450961,1.0,0.5163179115236692,0.5163179115236692
8707,leverage,50.0,bgr,0.7735757545756291,-0.016259384705584745,0.025067091886294718,0.44764978201322353,0.011217418651797878
8707,mixed,50.0,bgr,0.7766996226998605,-0.013135516581353368,0.025067091886294718,0.30174579212030916,0.007543611259893391
8707,gaussian,0.4,bgr,0.7678877281506715,-0.021947411130542327,0.9940158120960155,0.9970648913176721,0.9929961063382248
8808,nominal,0.0,ridge,0.5820408836013916,0.0,,,
8808,vertical,4.0,ridge,0.5861917918567267,0.00415090825533504,1.0,1.0,1.0
8808,leverage,50.0,ridge,0.9425511038715141,0.3605102202701225,1.0,1.0,1.0
8808,mixed,50.0,ridge,0.9776055527552654,0.3955646691538738,1.0,1.0,1.0
8808,gaussian,0.4,ridge,0.5817336809025989,-0.0003072026987926968,1.0,1.0,1.0
8808,nominal,0.0,huber,0.5966596424433973,0.0,,,
8808,vertical,4.0,huber,0.6170920107919391,0.020432368348541785,1.0,0.3008348064543305,0.3008348064543305
8808,leverage,50.0,huber,0.8376466181014488,0.2409869756580515,1.0,0.8780361296611264,0.8780361296611264
8808,mixed,50.0,huber,0.8396835279710957,0.24302388552769838,1.0,0.7806729126827333,0.7806729126827333
8808,gaussian,0.4,huber,0.5989216950673811,0.0022620526239838235,1.0,0.9749369902392745,0.9749369902392745
8808,nominal,0.0,geometry,0.582848841924382,0.0,,,
8808,vertical,4.0,geometry,0.585922573753778,0.003073731829395965,0.995826447858965,1.0,0.995826447858965
8808,leverage,50.0,geometry,0.6256243372309661,0.04277549530658409,0.01921859512554311,1.0,0.01921859512554311
8808,mixed,50.0,geometry,0.632898523868315,0.050049681943933,0.01921859512554311,1.0,0.01921859512554311
8808,gaussian,0.4,geometry,0.5825753600939492,-0.00027348183043285346,0.9994421848299752,1.0,0.9994421848299752
8808,nominal,0.0,schweppe_type,0.6195728664483692,0.0,,,
