seed,corruption_magnitude,group,count,median_information,median_abs_global_surprise,median_abs_local_surprise,median_global_influence,median_local_influence,mean_global_weight,mean_local_weight,median_local_radius_ratio
7,0.75,corrupted,619,0.000198332128395,1.954151664897236,2.49178471076059,0.0014772422232681,0.0023792636951233,0.9777520639642652,0.9087404293992296,1.020809373210469
8,0.75,ordinary_clean,10527,0.0001854109588921,0.722217595444275,0.6721990384270526,0.0001823164807845,0.000162465628451,0.9924306611541724,0.993512424451944,1.0057224523039126
8,0.75,rare_clean,619,0.0008509758129052,0.9498640711395252,0.7768928971650052,0.0015022939109513,0.001165598258855,0.9789601375928,0.985168495258443,2.6634516704407787
8,0.75,duplicate_group,2476,0.0001580133925022,0.70803909407193,0.6332396361585305,0.0001457987597876,0.0001255990783428,0.9936004988950192,0.99857794325469,0.8997859700096695
8,0.75,corrupted,619,0.0001873892968048,1.9139189024036047,2.302684680352852,0.0013516102859724,0.0019639535177985,0.9749981377881098,0.9374425182712522,0.9874015363980057
9,0.75,ordinary_clean,10527,0.0001897689312148,0.7198070106797104,0.6705490372311731,0.0001860197059785,0.0001666318757956,0.9926804180754014,0.9939962296401784,1.0049631635580163
9,0.75,rare_clean,619,0.0008937668868524,0.9089709680094368,0.8115374859778526,0.0015922267043859,0.0013508801926486,0.9742832823853486,0.985714313554457,2.735906747597493
9,0.75,duplicate_group,2476,0.0001619506831971,0.7246874121114617,0.6456749022893791,0.0001703935696691,0.0001287517618032,0.9936683808172226,0.9953867694052956,0.9190451298894828
9,0.75,corrupted,619,0.0001896163383719,1.9668173599315693,2.215243827671889,0.0013889778292217,0.0019465794132537,0.9720045798840392,0.930869635463445,1.0062062669147382
0,1.5,ordinary_clean,10527,0.0001898874315006,0.6979130876113226,0.700241679235347,0.0001740975264889,0.0001827156337989,0.9938048909072286,0.991675779038392,1.005405978467898
0,1.5,rare_clean,619,0.0008725046388242,0.8935070808114366,0.4240883074781795,0.0013936138376186,0.0003680692382866,0.980732993868313,0.9993387708660948,2.655077551955219
0,1.5,duplicate_group,2476,0.0001636037317002,0.6963591703828587,0.6884494000421828,0.0001500330482698,0.0001465485931022,0.9961916751478688,0.9921306227532904,0.9087600942785288
0,1.5,corrupted,619,0.0001977314975838,3.270209081347609,4.449499616770341,0.0038967811320952,0.0074543067246808,0.8663679441842839,0.6961387762959124,1.0242681179559732
1,1.5,ordinary_clean,10527,0.0001901576464394,0.6983806267466854,0.6637946908994179,0.0001735222169167,0.0001622033305041,0.9934413578501986,0.9944373775645589,1.0045187288968465
1,1.5,rare_clean,619,0.0008758359105505,0.8578031316706892,0.785571215202108,0.0013531679411207,0.0011707595149232,0.981419785034014,0.9875631293968922,2.725118474911479
1,1.5,duplicate_group,2476,0.0001618701903881,0.7897321023319909,0.7377905557468154,0.0001928353046909,0.0001638209092664,0.9972869924247014,0.9970759430884392,0.9134723140809976
1,1.5,corrupted,619,0.00018832642234,3.3528289587796487,3.931359171334071,0.0041508089042333,0.0056817366174446,0.856505529861511,0.7658125595995207,1.0097183370571408
10,1.5,ordinary_clean,10527,0.0001846304545716,0.7022629310411944,0.6655277789470236,0.0001729498079202,0.0001606724298709,0.9933820998652608,0.9950893913293988,1.005542957911708
10,1.5,rare_clean,619,0.0008510693263837,0.8534435701951452,0.6938185528236831,0.0013811638932042,0.0009327311029431,0.98010448943755,0.9893071759642236,2.725545303878878
10,1.5,duplicate_group,2476,0.0001606467070034,0.720760215965803,0.6520298849364882,0.0001512560591968,0.0001346546416193,0.9948807312674516,0.996754408219007,0.9011851516799751
10,1.5,corrupted,619,0.0001829804794339,3.3826418184688283,3.7096728150962894,0.004120937192504,0.0049525189072434,0.851951328192642,0.7589657296951016,0.9968278345902442
11,1.5,ordinary_clean,10527,0.0001885720552781,0.7010995860725923,0.6697470725213318,0.0001781005246914,0.0001691727396572,0.992863612074731,0.9933383641468012,1.0053875429851231
11,1.5,rare_clean,619,0.0008333943618507,0.9065744431053632,0.4554622472984754,0.0014468903169703,0.0004467872240962,0.9795729409705172,0.9980892879414672,2.6549409705743128
11,1.5,duplicate_group,2476,0.0001583573898572,0.7006019180404486,0.6739746695565833,0.0001423801846259,0.0001397896800703,0.9944756403523296,0.993607296705913,0.9144917462842366
11,1.5,corrupted,619,0.0001917132393001,3.382788467677725,4.265326813053571,0.0040609671464117,0.0070719758158781,0.8520809638974736,0.7150546495347787,0.9976640734516976
12,1.5,ordinary_clean,10527,0.0001911724896769,0.7096658109768895,0.6657943263712043,0.0001827098625497,0.0001623571722429,0.9933722199370312,0.9942929540288388,1.008148901448265
12,1.5,rare_clean,619,0.0008939298902684,0.8870657765815558,0.7696161172771948,0.0014539344796563,0.0010775472582941,0.9809409353365036,0.9883140370084452,2.6841178992903822
12,1.5,duplicate_group,2476,0.0001667123655876,0.7108217633745605,0.6672800947796075,0.0001593410273716,0.0001409046317226,0.994787528383157,0.997560717643023,0.9008027525084672
12,1.5,corrupted,619,0.0001837969322734,3.29880606753357,3.947669182951971,0.0038038200541758,0.0053663391508627,0.8632188737782511,0.7705205387975561,1.012469655346531
13,1.5,ordinary_clean,10527,0.0001864738272238,0.7075694120507874,0.6402916284496712,0.0001758884999658,0.0001476880153982,0.9935248030356002,0.9950654373018044,1.002666184556544
13,1.5,rare_clean,619,0.0008617477532591,0.9018989572503,0.7471343405078765,0.001408155745601,0.0010694404263116,0.9772337620659164,0.9863583359881324,2.6838751149497067
13,1.5,duplicate_group,2476,0.0001645519524572,0.723360166165046,0.6425641400468955,0.0001617000554694,0.000120552324541,0.9923957218718144,0.9980066490669804,0.9184669056792886
13,1.5,corrupted,619,0.0001871004697731,3.4383855913960963,3.9965370986016215,0.0043025950068539,0.0054897672995625,0.8419347962472117,0.7631634315588399,1.0282664060995652
14,1.5,ordinary_clean,10527,0.0001923399810981,0.6996664873297244,0.6860208559171042,0.0001767584436894,0.0001776468388966,0.993315827500044,0.992711666708912,1.0029480632298713
14,1.5,rare_clean,619,0.0008795688008596,0.9259459909812082,0.4074195709840909,0.0015613213569124,0.0003807482536249,0.9823444734672764,0.9991059538310728,2.7043892220862413
14,1.5,duplicate_group,2476,0.0001676844987486,0.7063836066987003,0.6491241414721456,0.0001550988382181,0.0001456438494568,0.9950093209271752,0.9952782120047302,0.9226336939368176
14,1.5,corrupted,619,0.0001972592964198,3.4004017187101048,4.455067506117665,0.004325171617495,0.0078830569595373,0.8464652781974938,0.696458656245875,1.001848290949111
15,1.5,ordinary_clean,10527,0.0001893555240911,0.7065887880358278,0.6949949554418876,0.0001769418778597,0.0001804084796047,0.9927920261994868,0.992626757809108,1.0039999825964727
15,1.5,rare_clean,619,0.0009097199187628,0.8717975707793284,0.4527257681517188,0.0014925620619887,0.0004315593058739,0.9821867651438164,0.9988412073014864,2.769261615604285
15,1.5,duplicate_group,2476,0.0001617632677439,0.7217948157130518,0.7255379144357396,0.0001623649631486,0.0001516765960045,0.9935128048525104,0.995644778101798,0.9101858962768872
15,1.5,corrupted,619,0.0001865297581336,3.3500672863207344,4.143192055015055,0.0042405106976169,0.0067478054327662,0.8516010310404799,0.7361121779537954,0.9941813038342728
16,1.5,ordinary_clean,10527,0.0001888231569443,0.7112819680441749,0.6639305047190438,0.0001789814376692,0.0001639652041649,0.9935426143168138,0.9925360689534958,1.0032170296687772
