seed,family,variant,scenario,rmse,delta_rmse,kappa_x,kappa_y,scale,mean_corrupt_weight
1202,kappa_x,line,nominal,0.25299334390981026,0.0,3.676402589769803,2.0,0.17301866916416356,
1202,kappa_x,line,vertical,0.2534085005844561,0.0004151566746458113,3.676402589769803,2.0,0.17301866916416356,0.0864044259851422
1202,kappa_x,line,leverage,0.25338068133141384,0.000387337421603573,3.676402589769803,2.0,0.17301866916416356,0.0027553367404267283
1202,kappa_x,line,mixed,0.2535066990330494,0.0005133551232391342,3.676402589769803,2.0,0.17301866916416356,0.0004304079810692117
1202,kappa_x,per_id,nominal,0.25321177243596144,0.0,3.4095239531357495,2.0,0.17175530515644813,
1202,kappa_x,per_id,vertical,0.2537307271969873,0.0005189547610258693,3.4095239531357495,2.0,0.17175530515644813,0.08488766307936985
1202,kappa_x,per_id,leverage,0.25357035661643773,0.0003585841804762957,3.4095239531357495,2.0,0.17175530515644813,0.0024305467868411383
1202,kappa_x,per_id,mixed,0.25366753422960764,0.0004557617936462033,3.4095239531357495,2.0,0.17175530515644813,0.00036532349424482787
1202,kappa_x,pi_weighted,nominal,0.25321177243596144,0.0,3.4095239531357495,2.0,0.17175530515644813,
1202,kappa_x,pi_weighted,vertical,0.2537307271969873,0.0005189547610258693,3.4095239531357495,2.0,0.17175530515644813,0.08488766307936985
1202,kappa_x,pi_weighted,leverage,0.25357035661643773,0.0003585841804762957,3.4095239531357495,2.0,0.17175530515644813,0.0024305467868411383
1202,kappa_x,pi_weighted,mixed,0.25366753422960764,0.0004557617936462033,3.4095239531357495,2.0,0.17175530515644813,0.00036532349424482787
1303,huber_scale,huber_pure,nominal,0.2719596325890825,0.0,inf,1.5,0.17004004952856874,
1303,huber_scale,huber_pure,vertical,0.27213006134049533,0.0001704287514128211,inf,1.5,0.17004004952856874,0.06481646635359994
1303,huber_scale,huber_geometry_anchored_scale,nominal,0.27111842199294434,0.0,inf,2.0,0.16994263832051426,
1303,huber_scale,huber_geometry_anchored_scale,vertical,0.2714816314749961,0.00036320948205176284,inf,2.0,0.16994263832051426,0.08646436279638493
1303,kappa_x,line,nominal,0.27066605067422367,0.0,4.526603196808532,2.0,0.16994263832051426,
1303,kappa_x,line,vertical,0.2711724271580137,0.0005063764837900386,4.526603196808532,2.0,0.16994263832051426,0.08582321737865174
1303,kappa_x,line,leverage,0.2701834325374709,-0.000482618136752766,4.526603196808532,2.0,0.16994263832051426,0.003975986262426077
1303,kappa_x,line,mixed,0.26991694504993724,-0.000749105624286428,4.526603196808532,2.0,0.16994263832051426,0.0006487061116291014
1303,kappa_x,per_id,nominal,0.27146154246727705,0.0,3.4259390183854284,2.0,0.1676559646166742,
1303,kappa_x,per_id,vertical,0.2718051775949308,0.0003436351276537297,3.4259390183854284,2.0,0.1676559646166742,0.08348719361204672
1303,kappa_x,per_id,leverage,0.27117310700768255,-0.0002884354595945049,3.4259390183854284,2.0,0.1676559646166742,0.0022212146941512885
1303,kappa_x,per_id,mixed,0.2710011171899381,-0.00046042527733897165,3.4259390183854284,2.0,0.1676559646166742,0.0003639670201083183
1303,kappa_x,pi_weighted,nominal,0.27146154246727705,0.0,3.4259390183854284,2.0,0.1676559646166742,
